id,name,kind,fetcher,url,status,enabled_in_live_config,priority,coverage,requires_env,domain,owner_id,tags,notes
don24_rss,ДОН 24,media,rss,https://don24.ru/rss,stable,True,1,regional_media,,,,"news, regional, rss",Базовый региональный RSS-поток для быстрого ingest.
news161_rss,161.RU,media,rss,https://161.ru/rss-feeds/rss.xml,stable,True,1,regional_media,,,,"news, city, rss","Даёт городскую и региональную повестку, полезен для жалоб и инцидентов."
donday_rss,DonDay,media,rss,https://donday.ru/rss.xml,stable,True,1,regional_media,,,,"news, incidents, rss",Сильный дополнительный поток по происшествиям и социальной тематике.
bloknot_rostov_html,Блокнот Ростов,media,html,https://bloknot-rostov.ru/news/,stable,True,2,regional_media,,,,"news, html, society","Уже проверенный HTML-листинг, хорошо работает без отдельного RSS."
telegram_don24tv,Telegram / ДОН 24,social,telegram,https://t.me/s/don24tv,stable,True,1,social_media,,,,"telegram, media",Публичный канал с быстрым обновлением региональной повестки.
telegram_news161ru,Telegram / 161.RU,social,telegram,https://t.me/s/news161ru,stable,True,1,social_media,,,,"telegram, media",Быстрый поток новостей и реакции аудитории.
telegram_donnewsru,Telegram / donnews.ru,social,telegram,https://t.me/s/donnewsru,stable,True,2,social_media,,,,"telegram, media",Полезен как дополнительный поток к сайту donnews.
telegram_rostov_glavniy,Telegram / Ростов Главный,social,telegram,https://t.me/s/rostov_glavniy,stable,True,2,citizen_signal,,,,"telegram, community",Хороший источник ранних сигналов и пользовательских жалоб.
telegram_rostov_city_admin,Telegram / Администрация Ростова-на-Дону,official,telegram,https://t.me/s/Rostov_Gorod_Admin,stable,True,1,official_signal,,,,"telegram, official, city",Ключевой официальный канал города для подтверждений и контрсигналов.
telegram_rostov_region,Telegram / Правительство Ростовской области,official,telegram,https://t.me/s/RostovRegion,stable,True,1,official_signal,,,,"telegram, official, regional",Главный официальный региональный сигнал.
telegram_mchs_rostov,Telegram / МЧС Ростовской области,official,telegram,https://t.me/s/mchs_rostov,stable,True,1,emergency_signal,,,,"telegram, official, emergency","Полезен для пожаров, запахов, ЧС и официальных предупреждений."
telegram_eto_rostov,Telegram / Это Ростов новости,social,telegram,https://t.me/s/etorostov,stable,True,2,citizen_signal,,,,"telegram, community, alerts",Дополнительный citizen-сигнал для локальных жалоб и ЧП.
telegram_bloknot_rostov,Telegram / Блокнот Ростов,social,telegram,https://t.me/s/bloknot_rostov,stable,True,2,social_media,,,,"telegram, media",Телеграм-поток к медиа Блокнот Ростов.
telegram_privet_rostov,Telegram / Privet-Rostov,social,telegram,https://t.me/s/privet_rostov_ru,stable,True,3,citizen_signal,,,,"telegram, community, media",Полезен как дополнительный локальный поток жалоб и бытовых проблем.
